# Generated by build_examples.py. Columns: polish <TAB> english <TAB> sentence.
być	to be	Chcę **być** lekarzem.
bezpieczeństwo	security	**Bezpieczeństwo** danych jest ważne.
media społecznościowe	social media	**Media społecznościowe** zajmują dużo czasu.
komentarz	comment	Twój **komentarz** był miły.
sms	text message	Dostałem krótki **sms**.
rozmowa	conversation	Nasza **rozmowa** była długa.
kontakt	contact	Mam z nim **kontakt**.
tryb cichy	silent mode	Telefon jest w **trybie cichym**.
ekran dotykowy	touch screen	Mój tablet ma **ekran dotykowy**.
zasięg	signal, range	Tu nie ma **zasięgu**.
abonament	subscription	Mam miesięczny **abonament**.
ikona	icon	Ta **ikona** jest niebieska.
blokada	blockade	Jest **blokada** na drodze.
algorytm	algorithm	Ten **algorytm** jest szybki.
obiekt	object	Ten **obiekt** jest duży.
metoda	method	Ta **metoda** działa dobrze.
biblioteka programistyczna	programming library	Ta **biblioteka programistyczna** jest przydatna.
kompilator	compiler	Mój **kompilator** pokazuje błąd.
wersja	version	Mam nową **wersję** programu.
repozytorium	repository	To **repozytorium** jest publiczne.
składnia	syntax	Ta **składnia** jest trudna.
typ	type	To mój ulubiony **typ**.
plansza	board	Na **planszy** stoją pionki.
pionek	pawn	Mój **pionek** poszedł dalej.
rzut	throw	Miał dobry **rzut**.
konsola	console	Nowa **konsola** stoi w salonie.
zwycięstwo	victory	To wielkie **zwycięstwo**.
porażka	defeat	Ta **porażka** mnie boli.
gol	goal	Padł piękny **gol**.
rzut karny	penalty kick	Sędzia podyktował **rzut karny**.
remis	draw	Mecz skończył się **remisem**.
zwycięzca	winner	**Zwycięzca** dostał medal.
przeciwnik	opponent	Mój **przeciwnik** grał dobrze.
kort	court	Gramy na **korcie**.
basen	swimming pool	Idę na **basen**.
rakieta	rocket	Ta **rakieta** poleciała wysoko.
przysiad	squat	Robię jeden **przysiad**.
pompka	pump	Zrobiłem dziś **pompkę**.
sztanga	barbells	Podnoszę ciężką **sztangę**.
hantle	dumbbells	Te **hantle** są ciężkie.
bieżnia	treadmill	Biegam na **bieżni**.
rozciąganie	stretching	Po treningu robię **rozciąganie**.
kondycja	fitness	Mam dobrą **kondycję**.
wytrzymałość	resilience	Jego **wytrzymałość** jest duża.
kalorie	calories	To ma dużo **kalorii**.
aktorka	actress	Ta **aktorka** jest bardzo znana.
seans	showing	Wieczorny **seans** był pełny.
napisy	writings	Nie rozumiem tych **napisów**.
lektor	lector	Mamy dobrego **lektora** w filmie.
gatunek	species	Ten **gatunek** żyje w lesie.
komedia	comedy	Ta **komedia** była bardzo śmieszna.
dramat	drama	Ten **dramat** mnie wzruszył.
horror	horror	Nie lubię oglądać **horroru**.
animacja	animation	Ta **animacja** podoba się dzieciom.
premiera	premiere	Jutro jest **premiera** filmu.
melodia	melody	Ta **melodia** jest bardzo ładna.
rytm	rhythm	Ten **rytm** jest szybki.
nuta	note	Ta **nuta** brzmi wysoko.
tekst piosenki	lyrics	Nie znam **tekstu piosenki**.
album	album	Kupiłem nowy **album**.
chór	choir	**Chór** śpiewał pięknie.
dyrygent	conductor	**Dyrygent** podniósł rękę.
festiwal	festival	W mieście jest **festiwal**.
taniec	dance	Ten **taniec** jest trudny.
wydawnictwo	publishing house	To **wydawnictwo** publikuje książki.
tłumaczenie	translation	To **tłumaczenie** jest dobre.
egzemplarz	copy	Mam jeden **egzemplarz** książki.
bohater	hero, protagonist	**Bohater** uratował miasto.
zakładka	tab	Mam **zakładkę** w książce.
literatura	literature	Lubię **literaturę** przed snem.
poezja	poetry	Czytam dziś polską **poezję**.
recenzja	review	Napisałem krótką **recenzję** filmu.
kolekcja	collection	Mam małą **kolekcję** znaczków.
majsterkowanie	diy	Lubię **majsterkowanie** w garażu.
joga	yoga	Rano ćwiczę **jogę**.
medytacja	meditation	Wieczorem robię **medytację**.
planszówki	board games	W sobotę gramy w **planszówki**.
origami	origami	Na lekcji składamy **origami**.
przyroda	nature	W szkole uczymy się o **przyrodzie**.
krajobraz	landscape	Ten **krajobraz** jest piękny.
środowisko	environment	Dbamy o **środowisko**.
powietrze	air	Dziś **powietrze** jest świeże.
ogień	fire	**Ogień** jest gorący.
ziemia	earth	**Ziemia** jest mokra.
kamień	stone	Na drodze leży **kamień**.
błoto	mud	Po deszczu jest **błoto**.
strumień	stream	Przez las płynie **strumień**.
wodospad	waterfall	Ten **wodospad** jest wysoki.
łąka	meadow	Na **łące** rosną kwiaty.
pustynia	desert	Na **pustyni** jest bardzo sucho.
wulkan	volcano	Ten **wulkan** jest aktywny.
kwitnąć	to bloom	Te kwiaty **kwitną** wiosną.
sadzić	to plant	Dziś **sadzimy** drzewa.
podlewać	to water	Muszę **podlewać** kwiaty.
zioło	herb	To **zioło** pachnie bardzo ładnie.
pokrzywa	nettle	Ta **pokrzywa** parzy w rękę.
mniszek	dandelion	Na łące rośnie **mniszek**.
kaktus	cactus	Mój **kaktus** ma kolce.
bluszcz	ivy	**Bluszcz** rośnie po murze.
pąk	pitch	Na gałęzi jest mały **pąk**.
jak się nazywasz	what's your name	Jak się **nazywasz**?
mam na imię	my name is	**Mam na imię** Ania.
skąd jesteś	where are you from	**Skąd jesteś**?
jestem z Polski	i'm from Poland	**Jestem z Polski**.
ile masz lat	how old are you	**Ile masz lat**?
gdzie mieszkasz	where do you live	**Gdzie mieszkasz**?
czym się zajmujesz	what do you do?	**Czym się zajmujesz** w pracy?
miło cię poznać	nice to meet you	**Miło cię poznać**!
mówię po polsku	I speak Polish	**Mówię po polsku**.
nie mówię po polsku	i don't speak Polish	**Nie mówię po polsku**.
czy mówisz po angielsku	do you speak English	**Czy mówisz po angielsku**?
nie rozumiem	i don't understand	**Nie rozumiem**.
czy możesz powtórzyć	can you repeat that	**Czy możesz powtórzyć**?
mów wolniej	speak slower	**Mów wolniej**, proszę.
jak to powiedzieć po polsku	how to say it in Polish	Jak **to powiedzieć po polsku**?
jak się to pisze	how do you spell it	Jak **się to pisze**?
nie jestem pewien	i'm not sure	**Nie jestem pewien**.
chyba tak	I think so	**Chyba tak**.
raczej nie	i don't think so	**Raczej nie** pójdę dziś.
zgadzam się	I agree	**Zgadzam się** z tobą.
nie zgadzam się	I disagree	**Nie zgadzam się** z tobą.
masz rację	you're right	**Masz rację**.
to prawda	that's true	**To prawda**.
to nieprawda	it's not true	**To nieprawda**.
nie szkodzi	never mind	**Nie szkodzi**.
nie ma problemu	no problem	**Nie ma problemu**.
nie ma sprawy	no worries	**Nie ma sprawy**.
z przyjemnością	with pleasure	**Z przyjemnością** pomogę.
niestety nie	unfortunately not	**Niestety nie** mogę.
może innym razem	maybe another time	**Może innym razem** pójdziemy.
trudno powiedzieć	it's hard to say	**Trudno powiedzieć**.
nie mam pojęcia	I have no idea	**Nie mam pojęcia**.
kto wie	who knows	**Kto wie**?
mam nadzieję	i hope	**Mam nadzieję** na słońce.
obawiam się	i'm afraid	**Obawiam się**, że spóźnię się.
przykro mi	i'm sorry	**Przykro mi**.
cieszę się	i'm glad	**Cieszę się**.
trzymam kciuki	fingers crossed	**Trzymam kciuki** za ciebie.
trzymaj się	take care	**Trzymaj się**!
miłego dnia	have a nice day	**Miłego dnia**!
do usłyszenia	speak soon	**Do usłyszenia** jutro.
daj mi znać	let me know	**Daj mi znać** wieczorem.
zadzwoń do mnie	call me	**Zadzwoń do mnie** wieczorem.
napisz do mnie	text me	**Napisz do mnie** wieczorem.
zaraz wracam	be right back	**Zaraz wracam** do domu.
muszę już iść	I have to go now	**Muszę już iść** do pracy.
do zobaczenia jutro	see you tomorrow	**Do zobaczenia jutro** w szkole.
sto lat	happy birthday	**Sto lat**, mamo!
wesołych świąt	happy Christmas	**Wesołych świąt** dla was!
szczęśliwego nowego roku	happy new year	**Szczęśliwego nowego roku** wszystkim!
szerokiej drogi	have a nice trip	**Szerokiej drogi** na wakacje!
co u ciebie	how are things	**Co u ciebie** w pracy?
wszystko w porządku	everything's all right	**Wszystko w porządku**, dziękuję.
nie najlepiej	not the best	Dziś czuję się **nie najlepiej**.
jestem zmęczony	i'm tired	**Jestem zmęczony** po szkole.
jestem głodny	i'm hungry	**Jestem głodny**, zjedzmy coś.
chce mi się pić	i'm thirsty	**Chce mi się pić** po biegu.
źle się czuję	i feel bad	**Źle się czuję** rano.
boli mnie głowa	I have a headache	**Boli mnie głowa** po hałasie.
boli mnie brzuch	my stomach hurts	**Boli mnie brzuch** po obiedzie.
potrzebuję lekarza	I need a doctor	**Potrzebuję lekarza** teraz.
zadzwoń po pogotowie	call an ambulance	**Zadzwoń po pogotowie** szybko!
czy mogę prosić o pomoc	could you please help me	**Czy mogę prosić o pomoc**?
czy możesz mi pomóc	can you help me	**Czy możesz mi pomóc** z torbą?
potrzebuję pomocy	I need help	**Potrzebuję pomocy** w domu.
czy mogę pomóc	can I help?	**Czy mogę pomóc** przy kolacji?
ile to kosztuje	how much is it	**Ile to kosztuje** tutaj?
to za drogie	it's too expensive	To **za drogie** dla mnie.
czy mogę zapłacić kartą	can I pay by card	Czy mogę zapłacić **kartą**?
czy mogę przymierzyć	can I try it on?	Czy mogę **przymierzyć**?
czy jest w innym rozmiarze	is it available in a different size?	Czy jest w innym **rozmiarze**?
czy jest wolny stolik	is there a free table?	Czy jest wolny **stolik**?
poproszę wodę	i'd like some water, please	Poproszę **wodę**.
na wynos	to take away	Na **wynos**, proszę.
na miejscu	on site	Zjem **na miejscu**.
jestem wegetarianinem	I am a vegetarian	Jestem **wegetarianinem**.
jestem uczulony	i'm allergic	Jestem **uczulony** na orzechy.
czy to jest ostre	is it spicy	Czy to jest **ostre**?
gdzie jest toaleta	where is the restroom	Gdzie jest **toaleta**?
idź prosto	go straight	**Idź** prosto.
skręć w lewo	turn left	**Skręć** w lewo.
skręć w prawo	turn right	**Skręć** w prawo.
po lewej stronie	on the left side	Po **lewej** stronie.
po prawej stronie	on the right side	Po **prawej** stronie.
zgubiłem się	i got lost	**Zgubiłem** się.
czy mogę prosić o mapę	can I have a map please?	Czy mogę prosić o **mapę**?
ile to zajmie	how long will it take	Ile to **zajmie**?
która jest godzina	what time is it	**Która jest godzina**?
o której godzinie	what time	**O której godzinie** masz lekcję?
za pięć minut	in five minutes	Wracam **za pięć minut**.
za godzinę	per hour	Płacę **za godzinę**.
w przyszłym tygodniu	next week	Wyjeżdżam **w przyszłym tygodniu**.
w zeszłym tygodniu	last week	Byłem tam **w zeszłym tygodniu**.
od czasu do czasu	from time to time	**Od czasu do czasu** piję kawę.
przez cały dzień	all day long	Padało **przez cały dzień**.
co drugi dzień	every other day	Ćwiczę **co drugi dzień**.
jak najszybciej	as soon as possible	Przyjdź **jak najszybciej**.
nie mam czasu	i don't have time	Dziś **nie mam czasu**.
czy jest wolny pokój	is there a room available	**Czy jest wolny pokój**?
na jedną noc	for one night	Zostanę **na jedną noc**.
o której jest śniadanie	what time is breakfast	**O której jest śniadanie**?
gdzie mogę zostawić bagaż	where can I leave my luggage	**Gdzie mogę zostawić bagaż**?
mój lot jest opóźniony	my flight is delayed	**Mój lot jest opóźniony**.
zgubiłem bagaż	i lost my luggage	**Zgubiłem bagaż** na lotnisku.
ile kosztuje bilet	how much is the ticket	**Ile kosztuje bilet**?
bilet w jedną stronę	a one-way ticket	Poproszę **bilet w jedną stronę**.
bilet w dwie strony	round-trip ticket	Kupuję **bilet w dwie strony**.
o której odjeżdża pociąg	what time does the train leave	**O której odjeżdża pociąg**?
z którego peronu	from which platform	**Z którego peronu** jedzie pociąg?
czy to miejsce jest wolne	is this place free	Czy **to miejsce** jest wolne?
mam pytanie	I have a question	**Mam pytanie**.
czy możemy się spotkać	can we meet?	Czy **możemy się spotkać** jutro?
zaraz to sprawdzę	i'll check it out soon	**Zaraz to sprawdzę**.
wrócę do ciebie	i will come back to you	**Wrócę do ciebie** wieczorem.
zgodnie z planem	according to plan	To idzie **zgodnie z planem**.
w miarę możliwości	as much as possible	Przyjdę **w miarę możliwości**.
podoba mi się	I like it	Ten film **podoba mi się**.
nie podoba mi się	i don't like it	Ta zupa **nie podoba mi się**.
według mnie	in my view	**Według mnie** to dobry pomysł.
z jednej strony	on the one hand	**Z jednej strony** to tanie.
z drugiej strony	on the other hand	**Z drugiej strony** jest daleko.
przede wszystkim	above all	**Przede wszystkim** chcę spać.
poza tym	apart from that	Jest zimno, **poza tym** pada.
to znaczy	meaning	Nie dziś, **to znaczy** jutro.
innymi słowy	in other words	**Innymi słowy**, musimy czekać.
krótko mówiąc	in short	**Krótko mówiąc**, spóźnię się.
tak czy inaczej	one way or another	**Tak czy inaczej** pójdę.
w każdym razie	anyway	**W każdym razie** dziękuję.
bez wątpienia	without a doubt	To **bez wątpienia** prawda.
co więcej	what's more	Jest tanio, **co więcej** blisko.
mimo to	even so	Pada, **mimo to** idę.
rzecz jasna	naturally	**Rzecz jasna** pomogę ci.
że tak powiem	so to speak	To, **że tak powiem**, mały dom.
o ile wiem	as far as I know	**O ile wiem**, on już wyszedł.
powodzenia	good luck	**Powodzenia** na egzaminie!
na zdrowie	cheers	**Na zdrowie**!
smacznego	enjoy your meal	**Smacznego**!
wszystkiego najlepszego	all the best	**Wszystkiego najlepszego** z okazji urodzin!
witaj	hello	**Witaj** w domu!
nazywać się	to be called	Jak **nazywasz się**?
imię	name	Jak masz **imię**?
nazwisko	last name	Jakie masz **nazwisko**?
wiek	age	Mój **wiek** to dwadzieścia lat.
pochodzić	to come from	Ona **pochodzi** z Polski.
mieszkać	to live	Mieszkam i **mieszkam** w Warszawie.
narodowość	nationality	Jaka jest twoja **narodowość**?
przedstawiać	to present	Pozwól, że cię **przedstawię**.
skąd	from where	**Skąd** jesteś?
obcokrajowiec	foreigner	On jest **obcokrajowcem**.
kawaler	single	Mój brat jest **kawalerem**.
żonaty	married	Mój tata jest **żonaty**.
zamężna	married (woman)	Moja ciocia jest **zamężna**.
osoba	person	To jest dobra **osoba**.
ludzie	people	**Ludzie** czekają na autobus.
chłopiec	boy	Ten **chłopiec** biega.
dziewczyna	girl	Ta **dziewczyna** czyta książkę.
chłopak	boy, boyfriend	Mój **chłopak** jest miły.
pan	you	Dzień dobry, **panie** Marku.
pani	madam, Mrs	Dzień dobry, **pani** Anno.
dorosły	adult	Jestem już **dorosły**.
nastolatek	teenager	Mój brat jest **nastolatkiem**.
niemowlę	baby	To **niemowlę** płacze.
starszy	senior	Mój **starszy** brat pomaga.
tłum	crowd	Przed sceną stał duży **tłum**.
gość	guest	Mamy dziś **gościa**.
mieszkaniec	inhabitant	Każdy **mieszkaniec** zna tę ulicę.
sąsiad	neighbor	Mój **sąsiad** jest miły.
żona	wife	Moja **żona** gotuje obiad.
mąż	husband	Mój **mąż** pracuje dziś.
babcia	grandmother	Moja **babcia** piecze ciasto.
dziadek	grandpa	Mój **dziadek** czyta gazetę.
wnuk	grandchild	Mój **wnuk** lubi lody.
wnuczka	granddaughter	Moja **wnuczka** śmieje się.
ciocia	aunt	Moja **ciocia** mieszka w Krakowie.
wujek	uncle	Mój **wujek** ma samochód.
kuzyn	cousin	Mój **kuzyn** gra w piłkę.
siostrzenica	niece	Moja **siostrzenica** ma siedem lat.
bratanek	nephew	Mój **bratanek** jedzie rowerem.
teść	father-in-law	Mój **teść** mieszka obok.
teściowa	mother-in-law	Moja **teściowa** dzwoni codziennie.
rodzice	parents	Moi **rodzice** są w domu.
rodzeństwo	siblings	Mam troje **rodzeństwa**.
bliźniak	twin	Mój **bliźniak** jest wyższy.
krewny	relative	Ten **krewny** mieszka daleko.
chrzestny	cartilaginous	Lekarz bada **chrzęstny** staw.
miłość	love	**Miłość** jest ważna.
przyjaźń	friendship	Nasza **przyjaźń** trwa długo.
związek	relationship	Ich **związek** jest udany.
para	couple	Ta **para** tańczy pięknie.
narzeczony	fiancé	Mój **narzeczony** kupił kwiaty.
ślub	wedding	Ich **ślub** będzie jutro.
wesele	wedding reception	Na **wesele** przyszła rodzina.
rozwód	divorce	Ich **rozwód** był trudny.
randka	date	Mam dziś **randkę**.
zaufanie	trust	Musisz mieć **zaufanie**.
kłótnia	quarrel	Ta **kłótnia** była głośna.
znajomy	acquaintance	Mój **znajomy** mieszka obok.
kolega	friend (male)	Mój **kolega** gra w piłkę.
koleżanka	girlfriend	Moja **koleżanka** czyta książkę.
tęsknić	to miss you	**Tęsknię** za tobą.
całować	to kiss	Oni się **całują**.
przytulać	to hug	Mama mnie **przytula**.
obietnica	promise	To jest moja **obietnica**.
uprzejmy	polite	Pan jest bardzo **uprzejmy**.
grzeczny	well-behaved	Dziecko jest **grzeczne**.
nieśmiały	shy	Ona jest bardzo **nieśmiała**.
pewny siebie	confident	On jest **pewny siebie**.
leniwy	lazy	Mój kot jest **leniwy**.
pracowity	hard-working	Moja siostra jest **pracowita**.
mądry	wise	To jest **mądry** wybór.
głupi	stupid	To był **głupi** pomysł.
uczciwy	honest	On jest zawsze **uczciwy**.
cierpliwy	patient	Mama jest bardzo **cierpliwa**.
hojny	generous	On jest **hojny** wobec kolegów.
skąpy	stingy	Mój wujek jest **skąpy**.
odważny	bold	Ona jest **odważna** dziś.
tchórzliwy	cowardly	Nie bądź taki **tchórzliwy**.
spokojny	calm	Jestem dziś bardzo **spokojny**.
nerwowy	nervous	Przed klasówką jestem **nerwowy**.
towarzyski	social	Ania jest bardzo **towarzyska**.
samolubny	selfish	To było **samolubne**.
wierny	loyal	Pies jest **wierny**.
radość	joy	To wielka **radość**.
smutek	sadness	W jego oczach był **smutek**.
strach	fear	Czuję **strach**.
złość	anger	Ma wielką **złość**.
nadzieja	hope	Mam **nadzieję**.
zazdrość	jealousy	Widzę w nim **zazdrość**.
duma	pride	Czuję **dumę**.
wstyd	shame	Czuję **wstyd**.
zaskoczenie	surprise	To było duże **zaskoczenie**.
ulga	relief	To była wielka **ulga**.
spokój	composure	Potrzebuję **spokoju**.
stres	stress	Mam dziś dużo **stresu**.
nastrój	mood	Mam dziś dobry **nastrój**.
uczucie	feeling	To **uczucie** jest miłe.
zdenerwowany	upset	Jestem dziś **zdenerwowany**.
podekscytowany	excited	Jestem **podekscytowany** wycieczką.
rozczarowany	disappointed	Byłem **rozczarowany** wynikiem.
wdzięczny	grateful	Jestem **wdzięczny** za pomoc.
szczupły	slim	Mój brat jest **szczupły**.
łysy	bald	Mój wujek jest **łysy**.
broda	beard	Ten pan ma długą **brodę**.
wąsy	moustache	Mój dziadek ma **wąsy**.
okulary	glasses	Noszę **okulary** do czytania.
blondynka	blonde	Ta **blondynka** śmieje się głośno.
brunetka	brunette	Moja siostra jest **brunetką**.
kręcony	curly	Mam **kręcone** włosy.
prosty	simple	To jest **prosty** przepis.
wzrost	growth	Mierzę swój **wzrost** rano.
waga	libra	Sprawdzam swoją **wagę**.
przystojny	handsome	Mój chłopak jest **przystojny**.
elegancki	elegant	Ma dziś **elegancki** płaszcz.
tatuaż	tattoo	Ma mały **tatuaż** na ręce.
piegi	freckles	Dziecko ma **piegi** na nosie.
blizna	scar	Ma **bliznę** na czole.
zjawisko	phenomenon	Burza to ciekawe **zjawisko**.
tendencja	tendency	Widzę **tendencję** do spadku.
skłonność	inclination	Mam **skłonność** do kawy.
cecha	characteristic	Jego główną **cechą** jest spokój.
właściwość	property	Ta **właściwość** szkła mnie zaskoczyła.
zależność	dependence	Widać tu **zależność** ceny od jakości.
związek przyczynowy	causal relationship	Szukałem **związku przyczynowego** między deszczem a korkiem.
konsekwencja	consequence	Spóźnienie było **konsekwencją** korka.
skutek	effect	Zmiana planu to **skutek** choroby.
przyczyna	cause	Brak paliwa był **przyczyną** problemu.
okoliczność	fact	Ta **okoliczność** zmieniła wszystko.
kontekst	context	W tym **kontekście** rozumiem twój żart.
aspekt	aspect	Patrzę na ten **aspekt** sprawy.
kwestia	issue	To ważna **kwestia** dla nas.
zagadnienie	topic, problem	To trudne **zagadnienie** na lekcji.
dziedzina	field, domain	Medycyna to trudna **dziedzina**.
zakres	range	Mój **zakres** pracy jest duży.
granica możliwości	the limit of possibilities	To już **granica możliwości** tego telefonu.
kryterium	criterion	Cena jest ważnym **kryterium** wyboru.
norma	standard	To nie jest **norma** w naszej firmie.
zasada działania	principle of operation	Znam **zasadę działania** tego urządzenia.
metoda badawcza	research method	Ta **metoda badawcza** daje dobre wyniki.
analiza	analysis	Zrobiłem krótką **analizę** wyników.
synteza	synthesis	Ta **synteza** tekstu jest jasna.
wniosek końcowy	final conclusion	Mój **wniosek końcowy** jest prosty.
hipoteza	hypothesis	Moja **hipoteza** była dobra.
teoria	theory	Ta **teoria** brzmi ciekawie.
dowód	evidence	To jest ważny **dowód**.
argument	argument	Mamy inny **argument** za tym pomysłem.
kontrargument	counterargument	Twój **kontrargument** brzmi sensownie.
przesada	exaggeration	To chyba **przesada**.
uproszczenie	simplification	To tylko **uproszczenie** problemu.
uogólnienie	generalization	To **uogólnienie** nie pasuje.
szczegół	detail	Ten **szczegół** jest ważny.
niuans	nuance	Jest mały **niuans** w tej sprawie.
odcień znaczenia	shade of meaning	To słowo ma inny **odcień znaczenia**.
dwuznaczność	ambiguity	W tym zdaniu jest **dwuznaczność**.
jednoznaczny	unequivocal	Odpowiedź była **jednoznaczna**.
niejasny	unclear	Twoje pytanie jest **niejasne**.
zrozumiały	understandable	To jest bardzo **zrozumiałe**.
przekonujący	convincing	To był **przekonujący** argument.
wątpliwy	doubtful	To **wątpliwy** pomysł.
prawdopodobny	likely	To **prawdopodobny** wynik.
nieprawdopodobny	incredible	To **nieprawdopodobny** zbieg okoliczności.
oczywisty	obvious	To jest **oczywiste**.
zaskakujący	surprising	To był **zaskakujący** dzień.
nieoczekiwany	unexpected	Był **nieoczekiwany** gość.
przewidywalny	predictable	Film był **przewidywalny**.
niezawodny	reliable	To jest **niezawodny** zegarek.
zawodny	unreliable	Ten telefon jest **zawodny**.
skuteczny	effective	Ta metoda jest **skuteczna**.
nieskuteczny	ineffective	Ten lek jest **nieskuteczny**.
wydajny	efficient	Ten komputer jest bardzo **wydajny**.
opłacalny	profitable	Ten zakup jest **opłacalny**.
kosztowny	costly	Naprawa była bardzo **kosztowna**.
zbędny	redundant	Ten checkbox jest **zbędny**.
niezbędny	necessary	Woda jest **niezbędna**.
istotny	relevant	To jest **istotny** szczegół.
drugorzędny	secondary	To jest **drugorzędny** problem.
zasadniczy	fundamental	To jest **zasadniczy** powód.
powierzchowny	superficial	Miałem **powierzchowną** rozmowę.
dogłębny	profound	Potrzebuję **dogłębnej** analizy.
szczegółowy	detailed	Poproszę **szczegółowy** opis.
ogólny	general	To jest **ogólny** plan.
konkretny	specific	Podaj **konkretny** przykład.
abstrakcyjny	abstract	To pojęcie jest **abstrakcyjne**.
teoretyczny	theoretical	To tylko **teoretyczna** wiedza.
praktyczny	practical	To jest bardzo **praktyczne** rozwiązanie.
stosowny	appropriate	To był **stosowny** komentarz.
niestosowny	inappropriate	To był **niestosowny** żart.
uzasadniony	justified	Twój strach był **uzasadniony**.
bezpodstawny	unfounded	To były **bezpodstawne** oskarżenia.
uprawniony	authorized	On jest **uprawniony** do wejścia.
zobowiązany	obliged	Jestem **zobowiązany** pomóc.
odpowiedzialny	responsible	Ona jest bardzo **odpowiedzialna**.
świadomy	aware	Jestem **świadomy** ryzyka.
nieświadomy	unconscious	Był **nieświadomy** zagrożenia.
celowy	purposeful	To był **celowy** ruch.
przypadkowy	casual	To był **przypadkowy** wybór.
zamierzony	intended	To był **zamierzony** ruch.
nieumyślny	involuntary	To był **nieumyślny** błąd.
stopniowy	gradual	Mamy **stopniowy** wzrost cen.
gwałtowny	violent	Był **gwałtowny** deszcz.
trwały	durable	To jest **trwały** materiał.
przejściowy	temporary	Mam **przejściowy** katar.
stały	constant	Mamy **stały** kontakt.
niestabilny	unstable	To jest **niestabilny** stół.
wzajemny	mutual	Mamy **wzajemny** szacunek.
jednostronny	unilateral	To była **jednostronna** decyzja.
obopólny	reciprocal	To był **obopólny** interes.
wspólny	common	Mamy **wspólny** plan.
odrębny	separate	Każdy ma **odrębny** pokój.
porównywalny	comparable	Te ceny są **porównywalne**.
nieporównywalny	incomparable	Te sytuacje są **nieporównywalne**.
przeciętny	average	To był **przeciętny** dzień.
wyjątkowy	exceptional	To był **wyjątkowy** prezent.
typowy	typical	To **typowy** poranek.
nietypowy	atypical	To było **nietypowe** pytanie.
rzekomy	alleged	To jest **rzekomy** winny.
domniemany	presumed	To **domniemany** sprawca.
faktyczny	actual	To jest **faktyczny** stan.
pozorny	apparent	To był **pozorny** spokój.
zauważyć	to notice	Nie **zauważyłem** telefonu.
dostrzec	to perceive	W mgle **dostrzegłem** dom.
rozróżniać	to distinguish	Dzieci **rozróżniają** kolory.
porównywać	to compare	Lubię **porównywać** ceny.
zestawiać	to put together	Nauczyciel **zestawia** dwa plany.
przewidywać	to predict	Meteorolodzy **przewidują** deszcz.
zakładać	to assume	**Zakładam**, że przyjdziesz.
wnioskować	to conclude	Z tego **wnioskuję** jedno.
stwierdzać	to state	Lekarz **stwierdza** grypę.
zaprzeczać	to deny	On **zaprzecza** wszystkiemu.
przyznawać	to admit	Ona **przyznaje** rację.
uznawać	to recognize	Wszyscy **uznają** go za szefa.
odrzucać	to reject	Komisja **odrzuca** ten pomysł.
przyjmować	to accept	Sklep **przyjmuje** karty.
rozważać	to consider	**Rozważam** zmianę pracy.
oceniać	to evaluate	Nauczyciel **ocenia** prace.
szacować	to estimate	Policja **szacuje** straty.
sprawdzać się	to test myself	Ten plan **sprawdza się**.
okazywać się	to show off	To **okazuje się** prawdą.
wynikać	to result	Z tego **wynika** problem.
prowadzić do	to lead to	To **prowadzi do** kłótni.
powodować	to cause	Dym **powoduje** kaszel.
wywoływać	to evoke	Ten film **wywołuje** śmiech.
wpływać	to influence	Słońce **wpływa** na nastrój.
oddziaływać	to affect	Lek działa **oddziałuje** na serce.
ograniczać	to limit	Lekarz **ogranicza** sól.
umożliwiać	to enable	Internet **umożliwia** naukę.
uniemożliwiać	to prevent	Burza **uniemożliwia** wyjście.
ułatwiać	to make it easier	Mapa **ułatwia** drogę.
utrudniać	to make it difficult	Hałas **utrudnia** sen.
przyspieszać	to accelerate	Kawa **przyspiesza** pracę.
spowalniać	to slow down	Korek **spowalnia** ruch.
zwiększać	to increase	Ćwiczenia **zwiększają** siłę.
zmniejszać	to reduce	Leki **zmniejszają** ból.
utrzymywać poziom	to maintain the level	Woda **utrzymuje poziom** wody.
osiągać	to achieve	On **osiąga** dobry wynik.
przekraczać	to exceed	Nie **przekraczaj** prędkości.
spełniać	to fulfill	Ten dom **spełnia** wymagania.
zaniedbywać	to neglect	Nie **zaniedbuj** nauki.
naruszać	to violate	Ten czyn **narusza** prawo.
przestrzegać	to follow	Musisz **przestrzegać** zasad.
egzekwować	to enforce	Policja **egzekwuje** prawo.
nadzorować	to supervise	Szef **nadzoruje** pracę.
zarządzać	to manage	Ona **zarządza** firmą.
koordynować	to coordinate	Ona **koordynuje** spotkanie.
delegować	to delegate	Szef **deleguje** zadania.
konsultować	to consult	Muszę **konsultować** decyzję.
negocjować	to negotiate	Musimy **negocjować** cenę.
ustalać	to establish	Musimy **ustalać** termin spotkania.
uzgadniać	to agree on	Musimy **uzgadniać** plan z szefem.
rozstrzygać	to settle	Sąd musi **rozstrzygać** spór.
łagodzić	to soothe	Herbata może **łagodzić** ból gardła.
zaostrzać	to tighten	Nowe przepisy mogą **zaostrzać** kary.
odraczać	to postpone	Sąd może **odraczać** rozprawę.
przyspieszyć decyzję	speed up the decision	Ten raport ma **przyspieszyć decyzję**.
wdrażać	to roll out	Firma zaczyna **wdrażać** nowe zasady.
testować	to test	Musimy **testować** nową aplikację.
wdrożenie pilotażowe	pilot implementation	To było **wdrożenie pilotażowe** w sklepie.
awaria	malfunction	W szkole była **awaria** prądu.
usterka	fault	W pralce jest **usterka**.
naprawa	repair	**Naprawa** lodówki trwa długo.
